time, pm2.5, pm10
2018-05-17 20:02:16.502805,28,30
2018-05-17 20:02:21.525921,31,33
2018-05-17 20:02:26.549131,32,34
2018-05-17 20:02:31.572599,31,33
2018-05-17 20:02:36.596821,28,30
2018-05-17 20:02:41.621688,26,28
2018-05-17 20:02:46.646912,27,29
2018-05-17 20:02:51.672348,28,30
2018-05-17 20:02:56.701628,28,30
2018-05-17 20:03:01.726766,26,28
2018-05-17 20:03:06.751541,25,27
2018-05-17 20:03:11.776475,25,27
2018-05-17 20:03:16.801320,27,29
2018-05-17 20:03:21.829555,31,33
2018-05-17 20:03:26.854742,31,33
2018-05-17 20:03:31.880382,26,28
2018-05-17 20:03:36.906283,23,24
2018-05-17 20:03:41.932674,23,24
2018-05-17 20:03:46.958951,27,29
2018-05-17 20:03:51.984363,31,33
2018-05-17 20:03:57.011133,31,33
2018-05-17 20:04:02.038201,30,32
2018-05-17 20:04:07.066160,27,29
2018-05-17 20:04:12.094176,25,27
2018-05-17 20:04:17.122395,28,30
2018-05-17 20:04:22.150418,27,29
2018-05-17 20:04:27.178757,24,25
2018-05-17 20:04:32.206718,24,25
2018-05-17 20:04:37.236945,24,25
2018-05-17 20:04:42.265714,24,25
2018-05-17 20:04:47.294242,25,27
2018-05-17 20:04:52.325517,28,30
2018-05-17 20:04:57.353906,28,30
2018-05-17 20:05:02.381667,22,23
2018-05-17 20:05:07.410780,19,20
2018-05-17 20:05:12.440262,22,23
2018-05-17 20:05:17.469915,23,24
2018-05-17 20:05:22.499687,23,24
2018-05-17 20:05:27.529687,25,27
2018-05-17 20:05:32.559671,27,29
2018-05-17 20:05:37.589098,30,32
2018-05-17 20:05:42.619790,28,30
2018-05-17 20:05:47.650653,23,24
2018-05-17 20:05:52.681388,21,22
2018-05-17 20:05:57.712467,21,22
2018-05-17 20:06:02.743962,22,23
2018-05-17 20:06:07.774549,23,24
2018-05-17 20:06:12.806484,23,24
2018-05-17 20:06:17.838703,22,23
2018-05-17 20:06:22.870871,24,25
2018-05-17 20:06:27.903303,26,28
2018-05-17 20:06:32.935991,23,24
2018-05-17 20:06:37.968869,21,22
2018-05-17 20:06:43.004056,19,20
2018-05-17 20:06:48.039565,17,18
2018-05-17 20:06:53.074150,18,19
2018-05-17 20:06:58.109478,24,25
2018-05-17 20:07:03.145107,30,32
2018-05-17 20:07:08.180411,31,33
2018-05-17 20:07:13.215813,26,28
2018-05-17 20:07:18.251691,24,25
2018-05-17 20:07:23.290748,25,27
2018-05-17 20:07:28.327040,23,24
2018-05-17 20:07:33.363854,19,20
2018-05-17 20:07:38.400638,20,21
2018-05-17 20:07:43.437781,25,27
2018-05-17 20:07:48.474487,25,27
2018-05-17 20:07:53.512646,23,24
2018-05-17 20:07:58.550487,23,24
2018-05-17 20:08:03.588974,23,24
2018-05-17 20:08:08.627379,23,24
2018-05-17 20:08:13.665616,25,27
2018-05-17 20:08:18.704237,27,29
2018-05-17 20:08:23.743222,26,28
2018-05-17 20:08:28.782497,24,25
2018-05-17 20:08:33.821307,22,23
2018-05-17 20:08:38.860456,24,25
2018-05-17 20:08:43.899207,27,29
2018-05-17 20:08:48.938983,27,29
2018-05-17 20:08:53.979058,25,27
2018-05-17 20:08:59.019070,24,25
2018-05-17 20:09:04.059352,27,29
2018-05-17 20:09:09.100199,29,31
2018-05-17 20:09:14.140835,29,31
2018-05-17 20:09:19.181913,28,30
2018-05-17 20:09:24.222422,30,32
2018-05-17 20:09:29.263500,32,34
2018-05-17 20:09:34.304664,29,31
2018-05-17 20:09:39.346287,24,25
2018-05-17 20:09:44.387759,21,22
2018-05-17 20:09:49.429417,24,25
2018-05-17 20:09:54.471746,29,31
2018-05-17 20:09:59.514060,31,33
2018-05-17 20:10:04.556753,29,31
2018-05-17 20:10:09.598783,26,28
2018-05-17 20:10:14.642400,27,29
2018-05-17 20:10:19.685779,28,30
2018-05-17 20:10:24.728815,27,29
2018-05-17 20:10:29.773209,23,24
2018-05-17 20:10:34.816672,22,23
2018-05-17 20:10:39.860269,26,28
2018-05-17 20:10:44.904250,28,30
2018-05-17 20:10:49.949292,25,27
2018-05-17 20:10:54.994116,21,22
2018-05-17 20:11:00.038882,21,22
2018-05-17 20:11:05.083819,23,24
